Timestamp (us),X Axis (a.u.),Y Axis (a.u.),Z Axis (a.u.)
34282191,18.187054,-23.383354,-59.106277
34332513,18.187054,-23.383354,-59.962891
34382825,17.815536,-23.011734,-59.098343
34433145,18.187414,-23.383818,-59.542576
34483458,18.558586,-23.383818,-59.542576
34533769,18.187414,-23.383818,-59.970940
34584082,18.558586,-23.754990,-59.542576
34634400,18.187414,-23.383818,-59.970940
34684707,18.187777,-23.384283,-59.122143
34735017,18.187414,-23.012646,-59.970940
34785334,18.187414,-23.383818,-59.970940
34835648,18.187414,-23.383818,-59.542576
34885960,17.816242,-23.754990,-59.970940
34936284,18.187414,-23.383818,-59.542576
34986598,18.187777,-23.384283,-60.407410
35036904,18.187414,-23.383818,-59.970940
35087218,17.815889,-23.383354,-59.106277
35137537,17.816242,-23.012646,-60.399303
35187856,17.816242,-23.012646,-59.542576
35238174,18.187414,-23.012646,-59.970940
35288482,18.188499,-23.756407,-59.995106
35338802,18.187414,-23.383818,-58.685848
35389120,18.187777,-23.384283,-59.550564
35439444,18.188137,-23.013561,-59.987045
35489768,18.187414,-23.012646,-59.542576
35540084,17.816597,-23.755463,-58.693722
35590408,18.187777,-23.384283,-59.550564
35640724,18.187777,-23.384283,-59.122143
35691037,18.558956,-22.641926,-59.122143
35741357,17.816242,-23.012646,-59.970940
35791681,18.187414,-23.012646,-59.970940
35842012,18.558956,-23.013103,-59.978989
35892329,17.817661,-23.385681,-59.574566
35942646,18.187777,-22.641926,-59.550564
35992966,18.187777,-23.013103,-59.122143
36043285,18.188137,-23.384747,-59.130085
36093606,18.558956,-23.384283,-59.550564
36143928,17.816950,-23.384747,-59.558567
36194238,18.188137,-23.013561,-59.130085
36244552,18.187777,-23.384283,-59.978989
36294860,18.559322,-23.013561,-59.987045
36345171,18.188137,-23.384747,-59.130085
36395490,17.816597,-22.641926,-60.407410
36445797,18.187777,-23.013103,-59.550564
36496107,17.816597,-23.013103,-59.978989
36546419,17.816597,-22.641926,-59.550564
36596730,18.187777,-23.013103,-59.550564
36647047,18.187777,-23.384283,-59.122143
36697359,18.188499,-23.014019,-59.566566
36747666,18.188137,-23.013561,-59.558567
36797973,18.187777,-23.384283,-59.122143
36848282,18.188137,-23.384747,-59.130085
36898582,18.559322,-23.384747,-59.130085
36948886,18.559322,-23.384747,-59.987045
36999200,18.558956,-22.641926,-59.978989
37049513,18.559322,-23.755934,-59.558567
37099824,18.187777,-23.013103,-60.407410
37150133,18.188137,-23.384747,-59.987045
37200436,18.188137,-23.013561,-59.987045
37250750,18.188499,-23.385214,-59.995106
37301049,18.187777,-23.013103,-59.978989
37351354,17.816597,-23.384283,-59.550564
37401663,18.559322,-23.013561,-59.558567
37451971,18.188137,-23.013561,-60.415524
37502272,18.559322,-23.384747,-59.558567
37552579,18.189585,-23.015394,-59.590572
37602888,18.187777,-23.013103,-59.550564
37653202,18.188137,-23.384747,-59.987045
37703506,18.558956,-23.013103,-59.550564
37753817,18.188499,-23.014019,-59.566566
37804129,18.188499,-23.014019,-59.995106
37854431,18.188499,-22.642826,-60.423641
37904730,18.559322,-23.384747,-59.987045
37955029,18.188499,-23.014019,-59.138031
38005329,18.188862,-23.014479,-59.574566
38055636,17.817661,-23.014479,-59.145973
38105953,18.188499,-23.014019,-59.138031
38156264,18.188499,-23.014019,-59.566566
38206565,18.188137,-23.384747,-59.558567
38256870,17.816950,-23.013561,-59.987045
38307180,18.560064,-23.014479,-60.003159
38357492,18.559692,-23.014019,-59.566566
38407808,17.817661,-23.014479,-60.003159
38458122,18.559692,-23.014019,-59.995106
38508438,17.817305,-23.014019,-59.138031
38558751,18.188499,-23.385214,-59.138031
38609056,17.817305,-23.014019,-59.566566
38659363,18.188137,-23.384747,-60.415524
38709675,17.817305,-23.385214,-59.566566
38759977,18.188499,-23.014019,-60.423641
38810277,18.188499,-23.014019,-59.566566
38860585,18.188499,-23.014019,-59.995106
38910894,18.188499,-23.014019,-60.423641
38961206,18.188862,-22.643278,-59.145973
39011513,18.188862,-23.385681,-59.574566
39061815,18.559692,-23.014019,-59.138031
39112109,18.188862,-23.014479,-60.003159
39162410,18.560064,-23.014479,-59.574566
39212717,18.188862,-23.014479,-59.145973
39263023,18.188499,-23.385214,-59.566566
39313321,18.188499,-23.385214,-59.566566
39363627,18.188499,-23.014019,-59.995106
39413916,18.188862,-23.014479,-59.574566
39464217,18.188499,-23.385214,-60.423641
39514531,18.560064,-23.014479,-58.717377
39564848,18.188862,-23.014479,-60.003159
39615166,18.188499,-23.385214,-59.566566
39665479,18.188499,-23.385214,-59.566566
39715790,18.560432,-23.386145,-60.011219
39766092,18.188499,-23.756407,-59.566566
39816396,18.561171,-23.015852,-59.598583
39866709,18.188499,-23.014019,-59.995106
39917026,18.560064,-23.385681,-59.574566
39967342,18.560432,-23.014936,-60.011219
40017657,18.188862,-23.385681,-59.574566
40067963,18.560064,-23.385681,-59.574566
40118277,18.560064,-23.014479,-59.574566
40168583,18.560432,-23.014936,-60.011219
40218894,18.188862,-23.385681,-59.574566
40269210,18.188862,-23.014479,-59.574566
40319531,18.188862,-23.014479,-59.574566
40369852,18.560064,-23.014479,-58.717377
40420160,18.188862,-23.385681,-60.003159
40470471,18.559692,-23.385214,-59.995106
