Timestamp (us),Quaternion W,Quaternion X,Quaternion Y,Quaternion Z,Acceleration X (g),Acceleration Y (g),Acceleration Z (g)
25447775,1.000120,0.001461,-0.000301,0.000096,-0.000739,-0.002485,-0.003093
25467765,1.000120,0.001456,-0.000305,0.000092,-0.001475,-0.002463,-0.003107
25507745,1.000120,0.001438,-0.000305,0.000112,-0.003716,-0.003105,-0.000960
25527736,1.000120,0.001441,-0.000304,0.000116,-0.001460,-0.001703,-0.003112
25547726,1.000120,0.001472,-0.000300,0.000126,0.000034,0.002608,-0.000926
25567717,1.000120,0.001476,-0.000297,0.000127,0.002259,0.005490,-0.000174
25587707,1.000120,0.001498,-0.000294,0.000133,0.000052,0.000350,-0.003097
25607698,1.000120,0.001497,-0.000288,0.000130,0.001409,-0.001835,0.000586
25627688,1.000120,0.001496,-0.000284,0.000136,-0.000687,0.001112,-0.000931
25647679,1.000120,0.001521,-0.000292,0.000132,-0.001375,0.001788,-0.003134
25667669,1.000120,0.001529,-0.000312,0.000141,0.002080,-0.003376,-0.000120
25687659,1.000120,0.001530,-0.000312,0.000143,0.003664,-0.001978,-0.005198
25707650,1.000120,0.001546,-0.000302,0.000155,0.001506,0.000961,-0.003074
25727640,1.000120,0.001530,-0.000297,0.000158,0.001407,-0.001905,-0.000143
25747635,1.000120,0.001554,-0.000285,0.000146,0.000816,-0.000515,-0.004536
25767621,1.000120,0.001578,-0.000293,0.000159,-0.000764,-0.003436,-0.001633
25787611,1.000120,0.001557,-0.000296,0.000166,-0.001479,-0.000454,-0.000208
25807602,1.000120,0.001554,-0.000306,0.000176,-0.001433,-0.002674,-0.005293
25827592,1.000120,0.001554,-0.000318,0.000178,0.000755,0.002422,-0.002368
25847582,1.000120,0.001568,-0.000347,0.000184,0.002133,0.003846,-0.000164
25867573,1.000120,0.001530,-0.000333,0.000178,-0.000832,-0.002611,-0.001637
25887563,1.000120,0.001514,-0.000330,0.000183,0.003549,-0.004855,-0.003724
25907554,1.000120,0.001529,-0.000338,0.000174,-0.002140,0.003233,-0.004614
25927544,1.000120,0.001533,-0.000338,0.000173,-0.000089,-0.001169,-0.001632
25947534,1.000120,0.001533,-0.000336,0.000160,-0.000182,-0.003337,0.001294
25967525,1.000120,0.001538,-0.000326,0.000160,0.002780,-0.003405,-0.000106
25987515,1.000120,0.001520,-0.000320,0.000172,-0.001462,-0.001871,-0.004569
26007506,1.000120,0.001540,-0.000343,0.000177,0.002817,0.001706,0.000592
26027496,1.000121,0.001523,-0.000349,0.000173,-0.000745,0.001766,-0.003848
26047487,1.000121,0.001517,-0.000334,0.000164,0.002282,0.002434,-0.007438
26067477,1.000120,0.001525,-0.000345,0.000178,-0.003604,0.006200,-0.002475
26087467,1.000120,0.001520,-0.000361,0.000182,-0.003681,-0.002589,-0.007519
26107458,1.000120,0.001499,-0.000353,0.000177,-0.004519,-0.004693,-0.003150
26127448,1.000120,0.001508,-0.000339,0.000180,-0.002176,0.000348,-0.005324
26147439,1.000120,0.001521,-0.000349,0.000172,0.002807,0.001009,-0.000132
26167429,1.000120,0.001521,-0.000352,0.000174,0.002108,0.003946,0.000564
26187420,1.000120,0.001526,-0.000338,0.000175,-0.002121,0.001763,-0.006790
26207410,1.000120,0.001552,-0.000326,0.000174,-0.002191,0.003213,-0.000972
26227400,1.000120,0.001563,-0.000334,0.000176,-0.000634,0.003861,-0.006046
26247391,1.000120,0.001550,-0.000346,0.000177,-0.000841,-0.003391,-0.003089
26267382,1.000120,0.001558,-0.000319,0.000174,-0.001486,-0.003407,-0.004560
26287372,1.000120,0.001552,-0.000315,0.000170,0.000671,-0.001949,-0.001613
26307362,1.000120,0.001545,-0.000310,0.000172,0.000709,-0.001211,-0.002346
26327365,1.000120,0.001542,-0.000299,0.000167,-0.000005,0.001014,-0.000188
26347343,1.000120,0.001560,-0.000308,0.000154,-0.000724,-0.002693,-0.004550
26367333,1.000120,0.001545,-0.000314,0.000140,-0.000757,-0.000451,-0.001650
26387323,1.000120,0.001548,-0.000299,0.000133,0.000829,0.000216,-0.005996
26407314,1.000120,0.001503,-0.000309,0.000139,0.000726,-0.001132,-0.003074
26427304,1.000120,0.001503,-0.000294,0.000145,-0.002167,-0.001815,-0.003126
26447295,1.000120,0.001515,-0.000277,0.000146,-0.000693,0.002549,0.001245
