Timestamp (us),Roll (deg),Pitch (deg),Yaw (deg)
22289290,0.171700,-0.047866,-0.000000
22309280,0.175163,-0.044356,-0.000000
22329270,0.172721,-0.048085,0.000000
22349261,0.168685,-0.046023,0.000000
22369251,0.168998,-0.050750,0.000000
22389242,0.173759,-0.052033,0.000000
22409232,0.176682,-0.048218,-0.000000
22429240,0.175661,-0.046071,-0.000000
22449213,0.178975,-0.042414,-0.000000
22469203,0.179300,-0.052668,0.000000
22489194,0.177165,-0.044620,-0.000000
22509184,0.172628,-0.046265,0.000000
22549165,0.171866,-0.044924,-0.000000
22569156,0.174147,-0.050463,0.000000
22589146,0.173324,-0.047019,-0.000000
22609136,0.175163,-0.045509,0.000000
22629126,0.176536,-0.046883,0.000000
22649117,0.177705,-0.042728,0.000000
22669107,0.176569,-0.042893,0.000000
22689098,0.178589,-0.038288,-0.000000
22709088,0.175243,-0.034366,0.000000
22729078,0.173554,-0.030706,0.000000
22749069,0.172103,-0.032853,-0.000000
22769059,0.165606,-0.030516,-0.000000
22789050,0.164361,-0.028090,-0.000000
22809040,0.165312,-0.025323,-0.000000
22829031,0.163330,-0.024063,0.000000
22849022,0.162372,-0.028174,-0.000000
22869011,0.158737,-0.027078,-0.000000
22889002,0.158474,-0.026541,-0.000000
22908992,0.156366,-0.027455,-0.000000
22928983,0.157012,-0.028200,0.000000
22948973,0.157673,-0.029372,-0.000000
22968964,0.155164,-0.033506,0.000000
22988954,0.157066,-0.032321,-0.000000
23008944,0.161475,-0.034101,-0.000000
23028935,0.161773,-0.035327,0.000000
23048926,0.159934,-0.035218,-0.000000
23068916,0.160507,-0.034678,0.000000
23088907,0.158886,-0.033577,0.000000
23108897,0.159635,-0.030747,-0.000000
23128887,0.159455,-0.027931,-0.000000
23148877,0.161940,-0.028739,0.000867
23168868,0.160894,-0.030485,0.000845
23188858,0.156871,-0.030524,-0.000232
23208849,0.154010,-0.031373,0.000359
23228839,0.153631,-0.029531,-0.001314
23248829,0.154607,-0.028853,0.000349
23268820,0.157411,-0.029845,0.001095
23288810,0.156000,-0.029597,0.001231
23308800,0.155636,-0.028641,0.000763
23328791,0.154818,-0.028739,0.001048
